White,WhiteElo,Black,BlackElo,Result
syndikat_7,1253,faisalhjgyjjgj55666b,1153,Black
Marc-Evans_751,1500,Branbcro,1164,Black
ulik-srulik,2331,PawnMenace,1823,White
FKCLS,1407,mo-hasans,1947,Black
Ryzechess00,1251,Gereto,2881,Black
mo-hasans,1947,opozoc1,2428,Black
Gmapplied,2815,Antonino12,1362,White
lovac1963,1696,Jose_Carreno,1763,White
hhyyuuuuu,1659,sampler0x1,2363,Black
evewynuwuu43,932,thechesscyclist,1500,Black
hhyyuuuuu,2233,holias,1649,Black
Mattia000,1054,Yugumix1985,1676,White
EskoKaz01,1974,Ss18raketa,1302,White
Amimos,1852,khalfanoo,1709,White
Amimos,1500,JohnBestBlunder,1607,Draw
Romann1980,1256,Meleagan,1378,White
MR176,1231,Burak1881,1218,Black
kyle0381,1734,Dianadindin,651,White
aljouker00,1726,Mhmd_Imath,1402,White
Olenrwot,1636,Pelejador20,2088,Black
Juank2023,1500,Ayman29000,887,Black
sebcarzab,1764,katalonec600,1483,White
anrong,1500,asep_hendra75,1846,White
fiodor99,1357,vkashaev,2407,White
Evertonduartew,1597,CyrusLOL,1649,Black
enb2281337,2167,ankaegesahn,2555,White
SEOtodo,1500,ygui22,2504,Black
danilponchik,1610,EsLaMEmbAbY12,915,White
GabrielGoderidze,2126,Streploz,2060,Black
twinkli,1843,hhyyuuuuu,2233,White
payamoham,1793,Paya2012,966,White
aria_vahedi,1344,AtvikzXD,1792,Black
Chanderk,1690,ccc_7Flut,1023,White
Peyman_Hesenov,1300,skelet_off,822,White
vtan01,1500,onurlalbek,1637,White
Bruhman1xd,1628,hornitoqueiru,2028,White
JRoaro,2008,Tavira,1500,Black
bulletkiller79,1994,Rey1965,1988,White
Jamesband,1770,joolww,1697,White
serkanerkara,1630,Arseniyluchy,1500,Black
CelineHomes,2059,KoomerProHD4k444,1670,Black
zenmenz,1687,mehrdad36790,1752,White
kiriki90,1643,R1shat,652,Black
NARSPI,1402,streploz,2060,Black
ruslankarta,1448,vidyuthb,1288,White
Gektsis,1183,Acro324,1554,Black
GrandMasterTortunov,2439,xindy,2235,White
Tigrouner,1254,levski1,2470,Black
seotodo,1500,Belhout_Saleh,1258,White
Aktauchess,2253,EDTECH2021,1937,Black
nafasebaba1393,1179,aminmohammadbahamin,1257,Draw
Andrey_vlg,1635,serkanerkara,1630,White
Andrey_vlg,1635,nickfox2,1692,Black
nasvay111,1004,P3d4s1,1500,Black
iraqitrappa,1500,streploz,2060,Black
karthikeya121,1438,Oneminute77,1468,White
bsmittyyy14,1468,jnowaczy45,1295,White
summergeorge,2780,Camila120911,803,White
bsmittyyy14,1468,holias,1649,White
Koze0,2012,PiusM,1268,White
bariskayra16,990,Korbinian_Dichtl,1318,Black
Moe19933,1410,Alikarim1,2128,White
FrightTheKnight,1646,Aditya16,1827,White
bakr2010,2076,playravisub,1930,White
igorT007,1738,JUZIF10,1847,White
atidra_krass,1674,abdsaddam,1721,White
hhyyuuuuu,2233,hambogo,1509,Black
BojanYu,1500,kudukha,1500,Black
qynoob,1500,alirezaparniaa,1678,White
ERIKMANDRAX,1507,ab0baa,1444,Black
Gektsis,1183,vilayet,1193,Black
sebaantonucci,1534,HuberHeinz,1982,Black
dfgl,1714,Serena7777,741,White
IK_Martin,2171,Samuraigodno1,1899,Black
orangelady,2600,king7gold,1428,White
chessnooba,2011,sitigalaktika,1917,White
wraithwalk,2116,Obamna77,1296,White
pol772,1237,cataramba2000,1500,White
NeverLose07,1203,Yuri_Kuzmin,1634,Black
Boabdill,2116,vgavrilo,1821,Black
pavdu69,1438,Gektsis,1183,White
VascaL8,1527,Dijabolik,1989,Black
Mundotoro,1342,edvardram777,1454,White
EsLaMEmbAbY12,915,cledsoncrist,1785,White
Bichocolorado,1513,Chess_bazigar,1649,Black
odinov,1264,Ran_0811,1590,White
vladimir-ru,1817,garmabsard,1902,White
Lewie_Paine,1209,chkamran,1707,Black
Captaincodd,1580,kafanski_sah,1829,Black
johnbooboohead,1620,kawon01,1156,White
mazdak-d,1518,fiodor99,1357,White
tofek7715,1076,razvanzrn,1500,Black
yanamaross,1582,jjoefish,1601,White
Steven609,1717,Rff117,1556,White
MindscapeMateM,2047,Branbcro,1760,White
Barhoumian,1358,Kadir1218888,1790,White
Norm53,2391,Alexandre0910,972,White
PaulMorphycrazy,2199,Daikip,1194,White
rilana76,1907,Jaderyepes90,2051,Black
ifk00000,1664,Dmitriy-Menshikov,1698,White
Dmitriy-Menshikov,1698,Otchym,1362,Black
EgorovVS21,1795,arif_fadilah,1755,White
moebelwagen,1500,JaxMen,1563,White
LimeDeutsch,715,Chess_aeron202411,1686,Black
shahzadashher,1620,sv424,1472,White
viktorbass,1387,jontehei,2106,White
Guru_AQS,1635,Alexg1908,1571,White
Stefano901,1500,ahmetdogan45,869,White
BiliQ,1347,Thomasrenfield,1814,Black
Mohammad_Noer,1500,johnnash6262,1500,White
advmo,1447,Fattsmann,1500,White
RVN_Brvsh,2490,tirsomontesino,1456,White
Wojtek60,1323,ERIKMANDRAX,1507,Black
CoroNestorA,1654,Selamssss,1840,Black
strongforcehold,1761,dresina,1500,White
bololereve,1265,ilhamganteng25,2226,Black
William_JamesMoriart,1745,R1shat,1124,White
Lusya69,1245,antique_1965,1799,Black
swetha2006,2189,majdali110,1500,Black
ulhas69,1225,zetrixss,1556,Black
azeddine1992,2190,naim116,1449,White
Farror,1820,Noroeste,1992,White
jeanpwls,891,SCANNNNA,1500,Black
rjcc97,1362,Aminesait,1074,White
Tobell19,1137,Rianious,1080,White
brcondori,1965,alaanadi,1500,Black
pavelfed,1929,JuabeEJ,1653,White
szilagy,1945,pawnsquat,2002,Black
destroyer02,1500,Henry_Kl,1877,Black
pavdu69,1438,tchingtching,1317,White
kitrish,2087,eunoeo,1816,White
Gandaswag,1180,adletos,1676,White
kokosiki,1299,Emilianomirabal257,1496,Black
serggas,1663,yassinezizo,1500,Black
Crazybiber,2199,knightlouse,1669,White
ZeMoChe,1535,JethroPh777,1372,Black
davinho1999,1500,very_old_chess_lady,1508,White
sulaiman_sulai,1965,xiiitamagoyaki,1479,White
osdcoolervlad,1299,charlie_chees,2146,Black
Sunset_Loverprprpr,1499,kawon01,1156,Black
QyNoob,1500,hakar1397,1350,White
saliheey,1039,E_J_L,1973,Black
iAmAble,1809,hhyyuuuuu,2233,White
SteveUCT,1716,Giant_Ki11er,1500,White
kenz1w,1927,Piedra2022,1330,White
wahidp,911,Norm53,2391,Black
pavdu69,1438,INCHESSTICIDE,1661,White
Chidhange,1718,CKOLIKOCLOB,1663,Black
QyNoob,1500,Bomb_Blaster,1702,White
El665,974,herudawe,1883,Black
Azerbaycan-Qax,1404,florianrian,1955,Draw
KCSPS1211,1479,AmerikosYT,2494,Black
QyNoob,1500,Black_angel30,2058,White
msalnave2,1700,Denis-leusov,1467,White
NARSPI,1402,AarushhParashar,1500,White
D1neX1107,1277,Truonglmaovc,1801,White
sv424,1472,ferno86,1878,White
Manueltxo,1836,tushh4rr,1500,Black
Lapapapa,1711,shorin_petr_66,1761,Black
enesque,1500,Joseluis1p967,1052,Black
vladimir-ru,1817,Duvian34,1250,White
Ahil2021,1826,TheChessCyclist,1500,White
emlyn_wynne,1049,ERIKMANDRAX,1507,White
Hharrish,1630,kris9999,988,Black
Branbcro,1164,sinantwelve,676,White
Ivan2887,1400,knightlouse,1669,Black
PEDREROL,1165,Juan-solo,1455,White
BerndK,1629,Hharrish,1630,Black
DVV88,1955,Amindenit,1977,Black
shrfx99,2604,pepelopez,2123,Black
divi256999,1836,gueret13,2129,Black
Boabdill,2116,mumud123,1858,White
WNAnt68-1219,1548,can33-33,2159,Black
tuan_kampung,1776,henryofskalitz22,1307,White
ab0baa,1444,mitchspyk,1194,White
blunder_king222,1684,ke3o,1500,Black
SBK70,1054,malakiamaepa,1132,White
Easywin10,1247,Mars0808,1828,Black
Hamze_Chaser,1965,Menes224,1143,Black
QyNoob,1500,naim116,1449,White
advmo,1447,Naga_Prasanna,1500,White
Biryuchok,1852,IdikovTimur,1367,White
Boabdill,2116,garmabsard,1902,White
miodragsj,1500,Rompalomp,1233,White
Karl0001,1873,vigor54,1692,White
vgavrilo,1821,PhD_ita,1938,Black
Naytikm10,1724,Alex11a,1637,White
strongforcehold,1761,edsy,1409,White
E2830694481,1988,Lakyranger,1410,Black
jhuacpe18,1948,yellowrock16,1273,Black
Master-KnightRider,1900,bora5533,1242,White
Romann1980,1256,sami1962,2468,White
Beerus2_0,1500,IliyaAlex,1782,White
alphacyxnide,1827,VGavrilo,1821,White
Krol1k1,2550,Riad_Emara,1056,White
ahmed10egypt,2465,Joseluis1p967,1052,White
bravejohn,1180,ciccioccia,2000,White
ZAyN_ARONIAN,929,Vespucci333,921,Black
tor007,1662,KKTTlovechess,1290,White
LucasOnChess,1367,yokibears,1954,Black
Marc-Evans_751,1500,Daikip,1194,White
lakaka123r44,1598,fachero,1864,Black
rilana76,1907,ajayverma029,2061,Black
leinad191,2131,ferdyggs,2188,White
Milon048,1841,Akane_Akane,1828,Black
DavidThomas01,600,LucasCabrera06,1303,Black
riturajchaudhary7,2109,igorT007,1738,White
sizwemolefe,1323,chiggy2706,1484,White
KRALSC,1792,guanacaso,1922,Black
DominiqueDawkins,1735,Drgitesh1961,1392,Black
